My town is a medium size city with eighty thousand inhabitants .,My town is a medium - sized city with eighty thousand inhabitants .
"I would like to be the best football player in the world , a Youtuber or take over a big company .","I would like to be the best football player in the world , a Youtuber , or take over a big company ."
"It often hard to go up in the morning , I always think just one more minute and then I fall asleep .",It is often hard to get up in the morning . I always think just one more minute and then I fall asleep .
I do n't know if I can agree to that but I listened to them . :),I do n't know if I can agree with that but I listened to them . :)
That I have been dancing for two years but I stopped because I did n't had time .,"That I danced for two years , but I stopped because I did n't have time ."
I would like to play a World Cup game and I also want to win champions league .,I would like to play a World Cup game and I also want to win the Champions League .
"I do n't have a favourite movie , I like many but the movies I like the most is funny and action .",I do n't have a favourite movie . I like many but the movies I like the most are comedies and action adventure .
I do n't read so much books .,I do n't read many books .
"I like a lot of songs but I think it 's Let 's Do It Again with J Boog because I like the singer 's voice , it 's a soft song and it 's easy to sing to .","I like a lot of songs , but I think it 's Let 's Do It Again by J Boog because I like the singer 's voice , it 's a soft song and it 's easy to sing too ."
I also like Stolen Dance with Milky Chance because it 's a soft song .,I also like Stolen Dance by Milky Chance because it 's a soft song .
I do n't only like soft music I also like pop music and house music .,"I do n't only like soft music , I also like pop music and house music ."
I like to watch South Park it 's really funny and I have almost seen every 17 seasons I also like to watch youtube videos every day .,I like to watch South Park . It 's really funny and I have almost seen all 17 seasons . I also like to watch YouTube videos every day .
I like a lot of food but the most meat food is good and pizza .,"I like a lot of food , but the most meat food is good and pizza ."
My favourite restaurant most have good meat and be really nice .,My favourite restaurant must have good meat and be really nice .
"The aim of this report is to describe and assess shops , which could be interesting for tourists .",The aim of this report is to describe and assess shops which could be interesting for tourists .
"The majority of people visiting Katowice are focused on three matters : sovenirs , fashion and food .","The majority of people visiting Katowice are focused on three things : souvenirs , fashion and food ."
It seems that there is not many places in city center where you can find souvenirs like postcards or books about the history of Katowice .,It seems that there are not many places in the city center where you can find souvenirs like postcards or books about the history of Katowice .
"Fortunately , visitors would find all of that in the Tourist Information Ofiice and in shops on the outskirts .","Fortunately , visitors will find all of that in the Tourist Information Office and in shops on the outskirts ."
"The one , which is really worthy to see is "" Kato - Sovenirs "" .","The one which is really worth seeing is "" Kato - Sovenirs "" ."
It 's the most popular sport all over the world .,It 's the most popular sport in the world .
My favorite international league is the English premiere league .,My favorite international league is the English premier league .
My advice to anyone who will start this sport is to start it early and play it regularly not to loose fitness .,My advice to anyone who is starting this sport is to start it early and play it regularly not to lose fitness .
Also joining a team will be a great idea .,"Also , joining a team would be a great idea ."
The environment is an important part of our life contributing in a positive way in our part of life without even concern about important parts for us to survive .,"The environment is an important part of our life , contributing in a positive way to our part of life without even concern about important parts for us to survive ."
Humans can easily damage the environment just throw their waste without recycling or ruin the places where animals are living .,Humans can easily damage the environment just by throwing their waste away without recycling or ruining the places where animals live .
Deforest the woods can damage the cycle of nature .,Deforestation can damage the cycle of nature .
Without forest ca n't be animals and the human being can disappear .,"Without forests , there ca n't be animals , and the human race will disappear ."
Some people do n't even care and just the do n't to earn money deforests the trees and sell to do furniture .,Some people do n't even care and just do n't to earn money deforests the trees and sell them to make furniture .
They even are not plant other trees .,They even do not plant other trees .
I notice that in supermarkets are using so much plastic just to cover a small thing or are using many plastic bags without even think how vulnerable is for the environment .,"I notice that , in supermarkets , they use so much plastic just to cover a small thing or use a lot of plastic bags without even thinking about how harmful this is to the environment ."
I used to live for a short time in a place where word recycle was completely ignored but they used to this because that was n't so rich .,"I lived for a short time in a place where the word "" recycle "" was completely unknown , but they used to do it because they were n't so rich ."
Where I live now I noticed that have the opportunity to recycling the waste because it is a posh area .,"Where I live now , I have noticed that we have the opportunity to recycle waste because it is a posh area ."
"In my opinion I think the government should take care of all area , even is a poor or rich area .","In my opinion , the government should take care of all areas , whether an area is rich or poor ."
The pollution has a negative contribution to the environment .I saw on television that wild birds are healthier in rural area than birds from urban area .,Pollution has a negative effect on the environment . I saw on television that wild birds are healthier in rural area than birds from urban areas .
Birds from urban area is difficult for them to find a proper food instead .,It is difficult for birds from urban areas to find proper food .
Some people from area which I live they used to feed the birds but others they do n't even care .,"Some people from the area where I live usually feed the birds , but others do n't even care ."
To keep all the nature alive we must contribute everyone of us for future generation .,"To keep all of nature alive , we must contribute everyone of us for future generations ."
"you can go by your car and at any time , but you ca n't by public transport .","You can go by car at any time , but you ca n't by public transport ."
you must not wait for your car but you must wait the public transport .,"You do n't have to wait for your car , but you must wait for public transport ."
you do not pay any fees to travel by your car .,You do not pay any fare to travel in your car .
The aim today is to provide you with the description of a best friend .,The aim today is to provide you with a description of my best friend .
"Kike is my best friend , I met him when we were studying in the primary school , then we were six or seven years old .","Kike is my best friend . I met him when we were studying in primary school , when we were six or seven years old ."
"Afterward , we went to do study at different schools , so , we were separated fro ten years .","Afterward , we went to study at different schools , so , we were separated for ten years ."
"Moving on to the physical description , I want to talk about that Kike is a man really high , his height is 1,95 meters .","Moving on to the physical description , I want to say that Kike is a really tall man ; his height is 1.95 meters ."
"He has a strong voice . that with his appearance , looks him impressive .","He has a strong voice that , with his appearance , makes him look impressive ."
"So , he is a hard warking , he is lawyer and always help me with all my professional problemns .","So , he is hard - working . He is a lawyer and always helps me with all my professional problems ."
"I want to turn to his hobbies , when he is n't working , he is riding on a bike ,","I want to turn to his hobbies . When he is n't working , he is riding a bike ,"
"every evening he takes the bike and rides across some paths for more than forty kilometers by day , so he is very good rider and its quite strong to ride with him .","every evening , he takes the bike and rides along some paths for more than forty kilometers per day , so he is a very good cyclist and it 's quite hard to cycle with him ."
To conclude I want to say that I 'm the godfather of his eldest son .,"To conclude , I want to say that I 'm the godfather of his eldest son ."
"My wife is a very special person to me , I like her very mush .",My wife is a very special person to me . I like her very much .
"I met her in University 20 years ago , She is 4 years younger than me .",I met her at university 20 years ago . She is 4 years younger than me .
"She is tall , Slim and straight .","She is tall , slim and straight ."
"In addition to that She has a pretty face , dark skin , black eyes and long brown hair .","In addition to that , she has a pretty face , dark skin , dark eyes and long brown hair ."
"She is very kind , sensitive and quiet She also has an attractive personality and a big heart but she is very nervous .","She is very kind , sensitive and quiet . She also has an attractive personality and a big heart , but she is very nervous ."
"She makes a great food to us , I like to cook with her and eat from her hand ;",She makes great food for us . I like to cook with her and eat from her hand .
She always work hard for our family .,She always works hard for our family .
Young people are the most interested in fashion and computer games .,Young people are most interested in fashion and computer games .
Girls usually follow the fashion blogger and the fashion magazine .,Girls usually follow the fashion bloggers and the fashion magazines .
Boys like following channel on youtube .,Boys like following channels on youtube .
"They like take pattern modeled on older people , who are popular on the Internet .",They like to take pattern modeled on older people who are popular on the Internet .
They like exchange their opinions about new star .,They like to exchange opinions about new stars .
People who are fan clubs interested in touring their idols .,People who are in fan clubs are interested in touring with their idols .
In this age people like being better than their friends and they like distinguish oneself .,"At this age , people like being better than their friends and they like to distinguish themselves ."
I am writing to apply for your job offer .,I am writing to apply for the job you advertised .
"I have already worked in summer camps in France and in Italy for children aged 7 - 13 . I am cheerful , energetic and hardworking .","I have already worked in summer camps in France and in Italy with children aged 7 - 13 . I am cheerful , energetic and hardworking ."
I usually work in the kitchens so it does not bother me .,"I usually work in the kitchens , so it does not bother me ."
I can go all over the USA without any problems and I can help the staff to get around if needed since I have the driving license .,I can go all over the USA without any problems and I can help the staff to get around if needed since I have a driving license .
Therefore I think that I am the suitable person for the job .,"Therefore , I think that I am a suitable person for the job ."
"yesterday night , i went to a restaurant with my family ..","Last night , I went to a restaurant with my family ."
"l love the place , nice decoration of restaurant .","l love the place , and the nice decoration of the restaurant ."
the waiter come to us and took the order .,The waiter came and took the order .
my family ordered the dinner but l ordered specially pizza and coke because l love pizza .,"My family ordered dinner , but l specially ordered pizza and Coke because l love pizza ."
we ate the food and enjoyed a lot .,We ate the food and enjoyed it a lot .
l love that day spent with my family ..,l loved that day spent with my family .
l wish l have come at weekends with my family and friends .,l hope l can go at weekends with my family and friends .
"I am living in the center of Spain , in a small city .","I live in the center of Spain , in a small city ."
"When I was child , my city was dirty because people were throwing their rubbish on the floor .","When I was a child , my city was dirty because people threw their rubbish on the floor ."
"However , a few years ago the government has paid more attention to the environment to our country ; for example they made a lot of advertisement on televion , in newspapers and on the internet to explain that the rubbish is not good for our world .","However , a few years ago , the government has paid more attention to the environment of our country . For example , they did a lot of advertising on television , in newspapers and on the internet to explain that rubbish is not good for our world ."
"Nowadays , we can see in all street a lot of bins and it is difficult to see rubbish on the floor because many people are cleaning the city .","Nowadays , we can see in all the streets a lot of bins and it is difficult to see rubbish on the floor because many people clean the city ."
"In the future , we must do an effort to improve our environment because we will want to give the same world or if it is possible a better world than before to our sons .","In the future , we must make an effort to improve our environment because we will want to give the same world or , if it is possible , a better world than before to our children ."
No body can deny that transportation is one of the most important things in our life .,Nobody can deny that transportation is one of the most important things in our life .
No country can live without transportation as it 's the real meaning of connection between each other .,No country can live without transportation as it 's the real means of connection with each other .
Cars are much convenient but this not mean that all other means of transportation are not important .,"Cars are much more convenient , but this does not mean that all other means of transportation are not important ."
sometimes many people want to travel faraway along distances so they need planes .,"Sometimes , many people want to travel far away over long distances , so they need planes ."
other people prefer to travel by trains as it 's faster and more comfortable than cars .,Other people prefer to travel by train as it 's faster and more comfortable than cars .
Many countries like to travel by bikes in order to decrease the pollution which happened by car exhausted.to my point of view i prefer travelling by cars which is more comfortable .,"Many people like to travel by bike in order to decrease the pollution which is caused by car exhaust . From my point of view , I prefer travelling by car , which is more comfortable ."
"Now in every country we have lot of transportation means as planes , trains , undergrounds , cars , ships , and rockets .","Now in every country we have a lot of means of transport , such as planes , trains , undergrounds , cars , ships , and rockets ."
public transportation is the mean reason to delivery people everywhere in a small time . in the past the had to use camels to travel which waste lot of time and tiredness .,"Public transportation is the main way to deliver people everywhere in a short time . In the past , they had to use camels to travel , which wasted a lot of time and caused tiredness ."
We need a vehicle to reach our work place .,We need a vehicle to reach our workplace .
If we use our public transport services .,"If we use public transport services ,"
we may be late to office / working place .,we may be late getting to our office / work place .
So we must use the personal vehicle .,So we must use a private vehicle .
"Everybody thinking like the public transport is not comfort for us , but environmentally the public transport is suitable to decrease the pollution and our energy sources also decrease .","Everybody thinks public transport is not comfortable for us , but environmentally , public transport is good for decreasing pollution and our energy sources are also decreasing ."
In Lublin is a beautiful castle .,In Lublin there is a beautiful castle .
It was built in twelfth century .,It was built in the twelfth century .
The castle 's look is in the Neo - Gothic style .,The castle 's architecture is in the Neo - Gothic style .
At the castle is Holy Trinty Chapel .,In the castle there is the Holy Trinity Chapel .
It is in a Gothic style .,It is in the Gothic style .
This tower is a precious monument of roman art and it is one of the oldest building in the Lublin .,This tower is a precious monument of Roman art and it is one of the oldest buildings in Lublin .
It was a part of the borough castellan .,It was a part of the borough of Castellan .
Castle also has a courtyard .,The castle also has a courtyard .
Now on the castle is a museum .,"These days , in the castle there is a museum ."
It to belong to the oldest and the biggest museums in eastern Poland .,It is one of the oldest and the biggest museums in eastern Poland .
This museum has a monuments of the superiority .,This museum has monuments of the superiority .
In my opinion it 's the one of the most fascinating place in Poland and the most wonderful site in Lublin . I think that everyone should visit this castle .,"In my opinion , it 's one of the most fascinating places in Poland and the most wonderful site in Lublin . I think that everyone should visit this castle ."
This restaurant has a good atmosphere because it is always people laughing and talking about funny things .,This restaurant has a good atmosphere because there are always people laughing and talking about funny things .
The food in this restaurant is very good and has a subnormal size because it is much bigger than the useful food .,The food in this restaurant is very good and has a larger than normal size because it is much bigger than the usual food .
The famous dishe of this restaurant is a huge hamburgure,The famous dish of this restaurant is a huge hamburger .
This restaurant will be an amazing place to the call meet there because like I said before the atmosphere and food are amazing .,"This restaurant will be an amazing place to the call meet there because , like I said before , the atmosphere and food are amazing ."
"In my opinion , public transport will become more and more important in the future . Travelling by car maybe is convenient , but it also brings air pollution and traffic jams .","In my opinion , public transport will become more and more important in the future . Travelling by car may be convenient , but it also brings air pollution and traffic jams ."
"If in a city there were only cars , the city would n't afford enough parking lots and roads , all the cars would jam the city , and people would n't get their destinations .","If there were only cars in a city , the city would n't have enough parking spaces and roads , all the cars would jam the city , and people would n't get to their destinations ."
"On the other hand , cars need more gasoline than buses which let out CO2 and other kinds of waste gases into the air , leading to the serious air pollution .","On the other hand , cars need more gasoline than buses , which emit CO2 and other kinds of waste gases into the air , leading to serious air pollution ."
"So , what we need is to devote much more money and time to improve the public transport .","So , what we need is to devote much more money and time to improving the public transport ."
"Public transport will have bright future ; on the contrary , travelling by car will vanish from our life .","Public transport will have a bright future ; in contrast , travelling by car will vanish from our lives ."
My favorite way is Train .,My favorite way of travelling is by train .
Plane is most fastest in another way to travel .,The plane is faster than other ways to travel .
"However , plane is most dangerous way to travel .","However , the plane is the most dangerous way to travel ."
Boat is the most cheapest in another way to travel .,Boat is cheaper than other ways to travel .
"However , boat is most slowest way to travel .","However , boat is the slowest way to travel ."
"So , train is intermidiate way to tarvel .","So , train is an intermidiate way to travel ."
"I like fight , because I like to hit someone .","I like fighting , because I like to hit people ."
"I start this sport when I was 11 years old , my dad let me go to box and I start that sport .",I started this sport when I was 11 years old . My dad let me go boxing and I started that sport .
He is very good on this sport .,He is very good at this sport .
"Today , the people use more cars , which leads to more cars on the street , traffic and pollution .","Today , people use more cars , which leads to more cars on the street , traffic and pollution ."
I think is better the idea that the people to use public transportation instead of using private cars or motorcycles,I think is a better idea that people use public transportation instead of using private cars or motorcycles .
"Firstly , people do not have to buy their own cars .","First , people do not have to buy their own cars ."
"Accordingly , people do not have to spend lots of money on gas that they have to fill the tank .","Accordingly , people do not have to spend lots of money on the gas that they have to fill the tank with ."
"Also , they do not have to find a place for parking as well .","Also , they do not have to find a place to park either ."
"Therefore , these are the reasons why I agree with the form to lower the congestion and air pollution by encourage people to use less private cars and turn to use more public transportation and other forms for transportation","Therefore , these are the reasons why I agree with the form to reduce congestion and air pollution by encouraging people to use private cars less and turn to using more public transportation and other forms for transportation ."
"It was a cold day at night when I was at home watching my favourite programme on my telly called "" dare to win "" , I was with my brother , when we decided to call , The programme is about questions for the contestants that must be answer in correct time , and there is a different things for the winner .","It was a cold night when I was at home watching my favourite programme on telly , called "" Dare to Win "" . I was with my brother when we decided to call . The programme is about questions for the contestants that must be answered in time , and there are different things for the winner ."
"A few minutes later we were listening ourselves in the programme , we were so nervous but it was exciting for us , our goal in the programme was get a free ticket for the most popular electronic party in the world .","A few minutes later , we were listening to ourselves on the programme . We were so nervous , but it was exciting for us . Our goal on the programme was to get a free ticket to the most popular electronic party in the world ."
"Despite our nervous we did it well ! and our dream come true , yeah , we 'll be glowing in the dark !","Despite our nerves , we did well and our dream came true . Yeah , we 'll be glowing in the dark !"
"As the secretary of the English Language club I am writing you this proposal to persuade you as to why it would benefit both the students , and the college if we would receive funding from you .","As the secretary of the English Language club , I am writing this proposal to persuade you as to why it would benefit both the students and the college if we received funding from you ."
"I am writing to aplaay for the job in the USA , published in an advertisement , last Monday .",I am writing to apply for the job in the USA published in an advertisement last Monday .
"I had recently finished my course of english in Cambridge , also I have a fresh and improve English .","I have recently finished my course in English in Cambridge , so I have fresh and improved English ."
"In order to help organising on sports and evening activities , I am a young person of 12 years old .","In order to help organise sports and evening activities , I am a young person of 12 years old ."
"Additionally , because public transport is expensive and does not have a comprehensive coverage of most cities private cars are more attractive for most poeple .","Additionally , because public transport is expensive and does not have a comprehensive coverage of most cities , private cars are more attractive for most people ."
I went to our new shopping centre last week at the downtown .,I went to our new shopping centre last week in the downtown .
"Actually I am very happy to tell you that we have a lot of new stores , including apple 's store .","Actually , I am very happy to tell you that we have a lot of new stores , including an Apple store ."
Long ago we had no stores to buy products or whatever were our needs .,Long ago we had no stores to buy products or whatever we needed .
"However from now one we can buying what we really need , on the other hand this shopping may help a lot of people get back working again .","However , from now on , we can buy what we really need . On the other hand , this shopping centre may help a lot of people get back to working again ."
"A few weeks ago I went into apple 's store , so that I bought a new mobile phone , it is awesome because it has reliable tools which allows me doing my daily working .","A few weeks ago I went into the Apple store , and I bought a new mobile phone . It is awesome because it has reliable tools which allow me to do my daily work ."
"Some people say that a tripp by car is more convenient that by the public transportation , but that statement has a lot of issues if we think about the limitations .","Some people say that a trip by car is more convenient than by public transport , but that statement has a lot of issues if we think about the limitations ."
"It is true that travel to a nearby place from your city , it is more comfortable getting there by car , and the ease of have your car to get wherever you want without spending money and time paying cabs .","It is true that when travelling to a nearby place from your city , it is more comfortable getting there by car , because of the ease of having your car to get wherever you want without spending money and time taking cabs ."
"But , the public transportation have a lot of future bacase a lot of reassons , first the time , if the place you want to reach finally is really far the different type of vehicles of public transportation will get you there faster than your car , also the complications about the field , like if you want to go from America to Europe there is no highway that cross the ocean you need an airplane and unless you have one , you will can not reach travel between continents with your car , a different reasson is politics , because if you want to go from anywhere in the USA to Alaska you will not need to pass through Canada , the commodity is a really important reasson because drive for 8 hours is exhausting and it will be unsafe also , the economics is a factor to , because the attrition of your car it will be more that in the normal use and the price of food and extra stops that you will need to do , it will be expensive that in public transportation .","But public transport has a future for a lot of reasons . First , time . If the place you want to reach is really far , the different types of vehicles of public transport will get you there faster than your car . Also , the complications about the field , like if you want to go from America to Europe , there is no highway that crosses the ocean . You need an airplane and , unless you have one , you will not be able to achieve travel between continents with your car . A different reason is politics , because if you want to go from anywhere in the USA to Alaska , you will not need to pass through Canada . Comfort is a really important reason , because driving for 8 hours is exhausting and it will also be unsafe . Economics is a factor too , because the wear and tear on your car will be more than in normal use and the price of food and extra stops that you will need to do . It will be more expensive than on public transport ."
"In conclusion , for me it is a lie that the public transportation has no future , however , they have to make improvements to this like the use of better ways of fuel or energy , one way is using renovable sources of energy such as solar , haeolic ( wind ) or hidraulic(water),Also there are biodisel , and gasoline extracted from seaweed .","In conclusion , for me , it is a lie that public transport has no future . However , they have to make improvements to this , like the use of better types of fuel or energy . One way is using renewable sources of energy , such as solar , haeolic ( wind ) or hydraulic(water),Also , there are biodiesel and gasoline extracted from seaweed ."
And the public transportation will be more important in a few years than now .,And public transport will be more important in a few years from now .
Dear Anne . Thank for your letter asking about my fmily and my Friends .,"Dear Anne , Thank for your letter asking about my family and my friends ."
"Saying that , my family is the best and they love me much .","Saying that , my family is the best and they love me very much ."
My brother lives in Barcelona with him girlfriend and he is very happy with her .,My brother lives in Barcelona with his girlfriend and he is very happy with her .
"Also , I have very Friends .","Also , I have a lot of friends ."
They are wonderful because they are always when I need them .,They are wonderful because they are always there when I need them .
"Nowadays , It is possible to find any kind of Tvs programmes you want and yes , I consider that there is very much sport on television , but , not too much .","Nowadays , it is possible to find any kind of TV programme you want and , yes , I consider that there is a lot of sport on television , but not too much ."
The way of life of people has began more and more stressful .,People 's way of life has become more and more stressful .
When somedoby to get at home he wants only relax in front of Television .,"When somebody gets home , he wants only to relax in front of the television ."
"Besides this , Tvs companies have understood sports provides this relaxess moment , mainly for men .","Besides this , TV companies have understood sports provide this relaxing moment , mainly for men ."
Then It put on Televison more and more sports programmes .,So they put on more and more sports programmes on television .
"In this view , I consider , though , there is lots of sports on Televison , they are not too much , because the people have looke for it .","In this view , I think that though there are lots of sports on television , there are not too many , because people have looke for it ."
"In conclusion , I think that Tvs companies only want to sell their product and the people want to have their relax moment with the sports programmes .","In conclusion , I think that TV companies only want to sell their product and the people want to have their relaxing moment with the sports programmes ."
"We left from our city on Monday , and we arrived Carlos Paz on Thursday .","We left our city on Monday , and we arrived in Carlos Paz on Thursday ."
"When the day came , we performed an amazing coreography and we went back home with 3 gold medals .","When the day came , we performed an amazing choreography and we went back home with 3 gold medals ."
"We really enjoyed this experience , just because we shared it as friends and we took dance lessons with the most professional and privileged dance teachers of the world .","We really enjoyed this experience , just because we shared it as friends and we took dance lessons with the most professional and prestigious dance teachers in the world ."
The album American Beauty/ American psycho is the sixth album released this year by the well - known American rock band Fall out boy that has a huge followers in several countries .,"The album American Beauty/ American psycho is the sixth album released this year by the well - known American rock band Fall out boy , which has a huge following in several countries ."
"The album with eleven tracks that reach top one , won a gold and silver certifications for the best - selling in diverse countries as the USA , Canada and the UK .","The album , with eleven tracks that reached number one , won gold and silver awards for the best - selling in various countries , such as the USA , Canada and the UK ."
This American band is known for their lyrics that hold something different from other the bands something close to a emocional statement .,"This American band is known for their lyrics that something different from other bands , something close to an emotional statement ."
Even in this albums that the band abandon their own root and add a bite of the pop genre in it .,"Even in this album , the band abandon their own roots and add a bite of the pop genre to it ."
"I really recommend this album because of the lyrics and the sound because it catch you , almost like a great poetry .","I really recommend this album because of the lyrics and the sound , because it grabs you , almost like great poetry ."
"I agree with the statement that people 's live will change dramatically in the next years , for previsible reasons that I will explain in following text .","I agree with the statement that people 's lives will change dramatically in the next years , for previsible reasons that I will explain in the following text ."
"Firstly , the biggest reason that people 's live will extremely change in the future is because of technology .","Firstly , the biggest reason that people 's lives will dramatically change in the future is because of technology ."
Technology is increasing in all the world .,Technology is increasing throughout the world .
"New technology has improve systems in many areas society , mainly in Information Systems .","New technology has improve systems in many areas of society , mainly in information systems ."
"The Information trhough of the Internet , had beem each day more quickly and it is reaching all parts of the world .",Information via the Internet had beem more quickly each day and it is reaching all parts of the world .
Furthermore the things and process is in evolution .,"Furthermore , things and processes are evolving ."
Life of people is turning easiest and comfortable .,People 's lives are getting easier and more comfortable .
"On industries , the big machines is making new products for our welfare .","In industry , big machines are making new products for our benefit ."
"Although , the advancement of technology , besides than bring advantages for everyone , it 's also will cause disadvantages , such as unemployment because machines will make the same or work better than humans .","However , the advancement of technology , besides bringing advantages for everyone , will also cause disadvantages , such as unemployment , because machines will do the same work or work better than humans ."
that 's why I agree that people 's live will change dramatically in the next 50 years .,That 's why I agree that people 's lives will change dramatically in the next 50 years .
"USA Summer Camp , I am interested in he vacancy of the summer camp .","USA Summer Camp , I am interested in he vacancy at the summer camp ."
"I 'm cheerfully , diligently and organized person .","I 'm a cheerful , diligent and organized person ."
And also I love children .,And I also love children .
I am accustomed to work with children because the last two summers I worked in summer camps and I have two little sisters that I love them and which I spent a lot of hours take care of them .,I am accustomed to working with children because the last two summers I worked in summer camps and I have two little sisters that I love and who I spend a lot of time taking care of .
I am a hardworking and a committed person in all aspects .,I am a hardworking and committed person in all respects .
They are the reason why I 'm great for these job .,These are the reasons why I 'm great for this job .
Also the last summers helped me to be preparing on more things that the children demand children .,"Also , the last summers helped me to be prepared for more things that children demand ."
"For an example I learned about the organization , how control big groups of children , and entertaining activities for children .","For example , I learned about organization , how to control big groups of children , and entertaining activities for children ."
I hope you get interested In my application .,I hope you are interested in my application .
I will be waiting for your answer and thank you for the time .,I will be waiting for your answer and thank you for your time .
"Nowadays , cost to buy a car that can take the whole family is not expensive anymore .","Nowadays , the cost of buying a car that can take the whole family is not expensive anymore ."
Car is not an expensive thing to have anymore .,The car is not an expensive thing to have anymore .
"As we know , the privilege having a travel by car is more convenient than by public transport .","As we know , the privilege of having a journey by car is more convenient than by public transport ."
We could stop in everywhere we want to stop .,We can stop anywhere we want to stop .
We could visit every places with no limitation time .,We can visit every place with no time limitations .
"If there was someone who asked me "" What is your favorite sport ? and why are you enjoy it ? "" I would tell that my favorite sport is soccer and it could let me know how important the team work is and I could always feel that there was a kind of power , like someone putting me into the water from the high place , to push me running and kicking the ball .","If there was someone who asked me "" What is your favorite sport ? and why do you enjoy it ? "" I would tell them that my favorite sport is soccer because it has let me know how important teamwork is and I could always feel that there was a kind of power , like someone putting me into the water from a high place , to push me to run and kick the ball ."
I had to say that feeling was really awesome .,I have to say that feeling was really awesome .
It made me feel like that happiness is running through out my body .,It made me feel like happiness was running throughout my body .
"I will suggest people who want to starting this sport , first you must find five to six friends to make a team , and then look for other friends to make another team , so that you can fight with other to get the score .","I would suggest to people who want to start this sport , first you must find five to six friends to make a team , and then look for other friends to make another team , so that you can compete with each other to get the highest score ."
"second , all you have to do is warm your body , if you do n't warm it before the race you might hurt yourself .","Second , all you have to do is warm up your body , if you do n't warm it up before the race , you might hurt yourself ."
Third all you can do is play for fun with your friends .,"Third , all you can do is play for fun with your friends ."
what is it the best ?,Which is it the best ?
"Public transport , our cars or natural transport as a bike .","Public transport , our cars or natural transport such as a bike ."
"My techer said that public transport has not future in our society , because travelling by car si so much more adecuate , never the less I am disagree with her opinion because if we use public tranposrt we will pollute less .","My teacher said that public transport has no future in our society , because travelling by car is so much more convenient . Nevertheless , I disagree with her opinion because if we use public transport we will pollute less ."
"Without travelling people would be very bored , life would be very monotunes .","Without travelling , people would be very bored , life would be very monotonous ."
"So , in the future we will dispense of types of transportation .","So , in the future we will dispense with types of transportation ."
"In these days , we use cars to travel between countries .","These days , we use cars to travel between countries ."
People ca n't dispense of cars these days .,People ca n't dispense with cars these days .
Families ca n't dispense of cars .,Families ca n't dispense with cars .
We should be careful from careless drivers .,We should be careful of careless drivers .
We have searched to find the model of 300 kw turbine on Zafrana and we did n't find 300 Kw turbine in zafrana .,We have searched to find the model of the 300 kw turbine on Zafrana and we did n't find the 300 kw turbine on Zafrana .
"The Capacity of used wind turbines on zafrana is 600 kw , 680 kw and 850 kw according to this site .","The capacity of used wind turbines on zafrana is 600 kw , 680 kw and 850 kw according to this site ."
We searched and found the 300 kw turbine is installed on Ras Ghareb on Red Sea not on Zafrana and Its model is Nordtank NTK 300 .,We searched for and found the 300 kw turbine is installed on Ras Ghareb in the Red Sea not on Zafrana and its model is Nordtank NTK 300 .
which capacity and model we will work on it ?,Which capacity and model will we work on ?
Nowdays people are using cars alot .,Nowadays people use cars a lot .
"In the past , it was n't like that , people had not had cars , they were only rely on puplic transport .","In the past , it was n't like that . People did not have cars . They just relied on public transport ."
"They had no chose , because life was difficult , no money .","They had no choice , because life was difficult , and they had no money ."
There were not company cars.but now most people have cars .,"There were not any company cars , but now most people have cars ."
"There are a few people are using puplic transport , like students and someone had low income.in my veiw , i can say might be the puplictransport going to e close because nobody is going to beclose","There are a few people who use public transport , like students and people who have a low income . In my view , I can say the public transport might be going to e close because nobody is going to beclose"
Last week my class and another one went to a school tripin Sicily .,Last week my class and another one went on a school trip in Sicily .
"We visited many cities like Taormina , Siracusa , Agrigento , Marsala and Trapani , and we saw a lot of monuments of Greek history .","We visited many cities , like Taormina , Siracusa , Agrigento , Marsala and Trapani , and we saw a lot of historical Greek monuments ."
"We stayed in three different hotels and one day , we went also to the sea in Giardini Naxos .","We stayed in three different hotels and , one day , we also went to the sea in Giardini Naxos ."
"The best thing I saw was the Valley of the temples , because there were a lot of ancient temples and monuments and ruines and they were really beautifuland also the panorama was amazing !","The best thing I saw was the Valley of the Temples , because there were a lot of ancient temples and monuments and ruins and they were really beautiful and , also , the view was amazing !"
"That day , there was a great time and it was sunny and hot ; I took a lot of photos and I learned new particulars about these important buildings .","That day , we had a great time and it was sunny and hot . I took a lot of photos and I learned new information about those important buildings ."
It was a fantastic trip and I hope to do similar trips like this !,It was a fantastic trip and I hope to do similar trips like that !
"people are interested in everything unknown , mysterious and incredible .","People are interested in everything unknown , mysterious and incredible ."
they are looking for new experiences .,They look for new experiences .
"Nowadays , a very popular topic among teenagers is existence cosmic creatures .","Nowadays , a very popular topic among teenagers is the existence of extra - terrestrials ."
To be honest I do n't believe in Ufo .,"To be honest , I do n't believe in UFOs ."
