My town is a medium size city with eighty thousand inhabitants .,My town is a medium - sized city with eighty thousand inhabitants .
"After the examns finished , I went home and had nothing to do , so I thought that I needed to watch my dramas because it was a week I haven't watch them due to the exam week .","From September 12 to September 14 , I was too lazy because I was tired from the exam , so I spent all day lying on the sofa doing nothing apart from watching the TV and chatting with my friends ."
"From September 12 to September 14 , I was too lazy because I was tired of the exam so I was all day laying on the sofa doing nothing apart of watching the TV and chat with my friends .","Besides , I needed to take care of my little sister Ellie , who is very cute and funny and , right now , she is always trying to get up and stand and walk ."
"Besides I needed to take care of my little sister Ellie , who is very cute and funny and right now she is always trying to get up and stand and walk .","On the rest of the boring week , I was watching TV , and suddenly , my cousin found some pieces of the puzzle inside the cabinet , so I decided to do my Paris puzzle with my sister , which had been less than half done for about one year , but it had too much color in the sky , so I did n't finished it a year ago ."
"On the rest of the boring week , I was watching TV and suddenly my cousin found some pieces of the puzzle inside the cabinet , so I decided to solve my Paris puzzles with my sister , which was less than a half solved for about one year but it had too much color in the sky so I did n't finished then a year ago .",We began to do it again and it took us the whole week to finish it .
We began to solve it again and took us the whole week to finish it .,"While doing the puzzle , I decided to count how many pieces were left . After counting them , I realized that five pieces were missing ."
"While solving the puzzle , I decided to count how much pieces was left , after counting them I realized that five pieces were missing .","I was so angry , because I was finishing the puzzle and five pieces were missing . So I began to search the whole house for the five pieces but did n't find them ."
I was too angre because I was finishing the puzzles and five pieces were missing so I began to search the whole house for the five pieces but did n't find it .,"On Saturday , I finished my puzzle but with five pieces missing . But I was happy too ."
"On Saturday , I finished my puzzle but with five pieces missing but I was happy too .","Also , my uncle , aunt , grandfather and cousins went with us ."
"Also my uncle , aunt , grandfather and cousins went with us .","After arriving at the Causeway , my brother and my cousins went to ride bicycles for one hour ."
"After arriving to the Causeway , my brother and my cousins went to drive bicycle for one hour .","I was hoping that my father could teach me to drive the car , but it was not possible because we went to Albrook Mall to eat and my father did n't want to return to Causeway Amador to teach me to drive ."
I was hoping that my father can teach me to drive the car but was not possibly because we went to Albrook Mall to eat and my father did n't want to return to Causeway Amador to teach me drive .,"Mini vacations can be fun , but sometimes boring , because you haven't planned anything for the vacation ."
Mini vacation can be fun but sometimes boring because you haven't planned anything for the vacation .,The best thing I did was to solve my beautiful Paris puzzle and go to Amador with my family and have a good time with them .
The best thing I did was to solve my beautiful Paris puzzles and went to Amador with my family and have a good time with them .,Mini vacations are a break for us to have fun and good times with our adorable and lovely family and friends .
Mini vacation are a break for us to have a fun and good moment with our adorable and lovely family and friends .,"When I was a child , I usually wore blue , grey and red ."
"when I was child , I wore usually blue , grey and red colours .","My bedroom is blue and orange , the colours of my toys when I was a child were different ."
"My bedroom is blue and orange , the colours of my toys when I was child are different .","I always choose my clothes because only I know my favourite clothes and , when I was a child , my toys ."
I chose always my clothes because only me know my favourite clothes and when I was child my toys .,"Now I wear different colours . For example , black , blue , grey and others ."
"Now I wear different colours for example black , blue , grey and other .",Maybe they will change .
Maybe they will change,I 'm sure you 'll agree that Pompei is the most important archeological site in the world .
I 'm sure you 'll agree Pompei is the most important archeological site in the world .,It was destroyed by a volcanic eruption in 75 BC .
It was destroyed by a vulcanic eruption in 75 BC .,"Vesuvius - this is the volcano 's name - covered it with a lot of ash so that walls , houses , food , clothes , bodies of citizens were preserved as they were ."
"Vesuvium - this is the vulcano 's name ! - covered it with a lot of cinder so that walls , houses , food , clothes , corps of citizens has been preserved as well they were .",You can walk through the same streets and enter the same shops the Romans entered some centuries ago !
You can walk through the same streets and enter in the same shops the romans entered some centuries ago !,Is n't it incredible ?
It is n't incredible ?,"In addition , it is possible to book special tours in which there are guides dressed like pompei 's citizens ."
Besides is possible to book special tours in which there are guides dressed like pompei 's citiziens .,There is a unique atmosphere !
There is an unique athmosphere !,"In my opinion , no one should come to Italy without visiting Pompei ."
In my opinion anyone could n't come to Italy without visiting Pompei .,"In particular , in urban areas , for example , Taipei city in Taiwan ."
"Especially in urban , for example , Taipei city in Taiwan .","People who live there know the convenient public transport system called MRT ; it 's fast , cheaper and you do n't have to find a parking space ."
"People who lives there almost know the convenient public transport called MRT , it 's fast , cheaper and does n't have to find the parking lot .","Besides , it 's harmful and makes the earth 's environment worse because of the emission of so much carbon dioxide ."
"Besides , it 's harmful and makes earth environment more worse for emission so much carbon dioxide .",That will cause global warming .
That will cause the global warming .,"But , if you live in the country , a car may be essential , because it will cost so much money to buy the tickets if the family is large ."
"But , if you live in the country , car may be essential , because it 's will spend so much money to buy the tickets if their family have many people .","So , I think the government should have to draw up a proposal to solve the problems between the use for urban areas and countryside ."
"So , I think the government should have to draw a proposal to solve the problems between the use for urban and counry .",And think deeply about the problem of protecting the environment .
And think deeply the problem about protecting the environment .,I love my little family .
I love my small family .,"If any problems arise , i I go to my parents and tell them the problem , and they solve the problem ."
"If any problems faced , i 'm went to my parents and say the problem , there are solve the problem .",My parents are good guides .
My parents are the good guides .,"There are my role models . Sometimes we go to the tour programs , it programs . Those are very happy moments ."
"There are my role model.some times we were go to the tour programs , it 's very happy moments .",My mammy tells me a story at night .
My mammy told the story in night .,Mom makes the special foods for festivals .
Mom make the special foods in festivals .,My family is a nuclear family .
my family is a nuclear family .,Steve Ramsay works for the espionage agency S.H.I.E.L.D and lives in Washington D.C. after the Battle of New York .
Steve Ramsay work in the espionage agency S.H.I.E.L.D and live in Washington D.C. after the Battle of New York .,"One day , a S.H.I.E.L.D agent was attacked by a ghost ."
"Someday , an S.H.I.E.L.D. 's agent was attacked by the ghost .","After that , Steve becomes an America captain to protect the world again ."
After that Steve become an America captain to protect the world again .,He meets a strong opponent who is a winter soldier when he wants to find the wirepuller .
He meets a strong opponent who is winter soldier when he wants to find out the wirepuller .,"Besides being excellent exercise , it is also the most comfortable , because it allows me to concentrate , to be with myself , talking and praying to God with each step in the morning ."
"Besides to be an excellent exercise , is also the more comfortable , because it allows me to concentrate , to be with myself , talking and praying to God in each step in the morning .",I wake up at 5 o'clock in the morning .
"I woke up 5H00 o'clock in the morning ,","I consider this to be the best time to do sport , taking into account that the pollution is down at that time ."
"I consider this is the best time to do sport , taking into account that the pollution is down at that time .","There is not so much traffic , and my senses and lungs perceive and breathe all the smells of the flowers , and the land . First , I walk slowly , and then I begin to walk as fast as possible to improve my fitness and I end up walking 5 turns around the park ."
"There is not so much traffic , and my senses and lounges perceive and respire all the smell that flowers , land , the First , I walk slowly and then I begin to walk as soon as possible to improve my fitness and I end walking 5 turns in the park .",What I really enjoy is lying on the grass .
What I really enjoy it is to lie in the grass .,It is during this moment that I get to talk to God .
It is in this moment when I get to talk to God .,"I feel that he is near to me , that he listens to every word that I pray ."
I feel that he is near to me that he listens to me every word that I pray .,"Doing so , I begin my daily routine , I come back home , have my breakfast , followed by lunch , because I have to get to work at 9 o'clock ."
"Doing so , I begin my routine day , come back home , begin to do my breakfast , followed by the lunch , because I have to get to work at 9H00 o'clock .","It is an activity that goes according to the capacity of each person , and doing it each morning improves our health and takes away all the bad from our body ."
"It is an activity that goes according to the capacity of each one , that doing it each morning improvement our health and move away all the bad of our body .",The graph below gives information about seasonal sales of ice - cream in different places : in an ice - cream van and an indoor swimming pool from Jan to Dec .
The graph below gives information about seasonal sales for ice - cream of different places in ice cream van and indoor swimming pool in Jan to Dec .,"Overall , an average of 5000 dollars per year about ice cream van ."
"Overall , average of 5000 dollars of year about ice cream van .","In addition , indoor swimming pool sales have a slightly decline from 2012 to 2014 ."
"In addition , indoor swimming pool sales have a slightly declining from 2012 to 2014 .","First , the graph showed an upward trend for the ice cream van and , in 2014,it had the largest percentage of sales at nearly 5500 dollars from Jul - Sep ."
"First , the graph showed an upward trend to ice cream van , and in 2014,it has the largest percentage of sales nearly 5500 dollars in Jul - Sep .","No matter what year , its lowest level was always in Jan - Mar ."
"No matter what year , its lowest level always in Jan - Mar .","Maybe because in this period of time the weather was cold , the number of purchasers is greatly reduced ."
"May be because this paragraph of time the weather was cold , the purchaser greatly reduced .","We can see from the diagram , the highest peak in the graph has increased year by year , as the low as ."
"We can be seen from the diagram , the highest peak in the has increased year by year , as the low as .","Second , for the indoor swimming pool , it generally appears to be wavy falling , from 2500 dollars in 2012 to 2000 dollars in 2014 . We can infer , it will not rise sharply , and it is impossible for it to fall sharply ."
"Second , for indoor swimming pool , it generally appear wavy falling , from 2500 dollars in 2012 to 2000 dollars in 2014 . We can infer , it will not rise sharply , and it is impossible to fall sharply .","Most people like to have their own car , because they think it is more comfortable and flexible ."
"Most people like to have their own car , because they think is more comfortable and flex .",You can go out of your house and take your car and leave for your job and park very close .
You can go out from your house and take your car park and leave to your job and park very close .,"But I think that public transport is the future . We need to preserve the environment , this is an imperative for our world , and the solution is to take the point that the governments invest more in public transport , so people do n't need to get a car to be able to have a job and do n't need it for the normal development of their lives ."
"But I think that the future is the public transport , we need preserve nature , this is an imperative for our world , then the solution have to take the point that the governments do more invest in public transport , so the people do n't need to get a car for being able to have a job and do n't need it for normal development of their lives .","Also , we have to promote people getting jobs close to their accommodation or getting accommodation close to their jobs , because we have too much pollution . And we could reward companies that hire staff close to the place of work , maybe in a radius of 4 kilometres , and we could reward people that change their accommodation to live near to their job or for going there by bicycle ."
"As well , we have to promote that the people get jobs close their accommodation or get the accommodation close to the jobs , because we have too much pollution and we could reward the companies that hire staff close to the place of job , maybe in a circle of 4 kilometres , as well we could reward the people that turn their accommodation for live near to the job or for going there by a bicycle .","Maybe this sounds a bit crazy , but any solution will be good , we must only make our minds up to be able to look across ."
"Maybe this sound a bit crazy , but whatever solution will be good , we only must make our minds up for able to look across .",What fine weather today !
What the fine weather today !,"It 's April now , and spring is finally here ."
"It 's April now , and spring is finally .","The sun shines brightly , the snow melted in the March ."
"The sun shines bright , snow has melted in the March .",Birds have returned from warm countries .
Birds returned from warm countries .,They sing joyfully and build their nests .
They sing joyfully and build the nests .,They feel tired after a long snowy winter .
They feel tired after long snowy winter .,"In March , we set forward our watches an hour ."
In the March we set forward our watch an hour ago .,Summertime was first converted in 1900 .
Summertime was first converted in 1900 year .,The days are getting longer but nights are getting shorter and lighter .
Days are getting longer but night are getting shorter and lighter .,We put our watches back an hour in October .
We convert our watches an hour ago in October .,It pleases some people because they will be able to sleep an hour more .
It 's pleased some people because they will be able to sleep an hour more .,I like spring and always wait for it and wait for the summer holidays with impatience .
I like spring and always wait for it and wait for summer holidays with impatience .,"As soon as I have sat all my exams , I will travel ."
As soon as I pass all exams I will travel .,"As they say in the English proverb "" travel broadens the mind "" . In summer you can switch off from your daily routine , relax , have a talk with friends ."
"As they say in English proverb < travel broadens the mind>. In summer you can switch off of daily routine , relax , have a talk with friends .",I haven't decided as yet where I will spend the summer .
I did n't decide as yet where I will spend the summer .,It has become a big problem now .
It became a big problem now .,"However , I am stopped by recent tragic developments in foreign countries ."
However I am stopped last tragic developments in foreign countries .,"I think it 's better and safer to go to the Black Sea , to Crimea or to Kuakas ."
"I think , it 's better and safer to go to Black sea , to Crimea or to Kuakas .",My friends have bought tickets to Sochi already .
My friends have bought ticket to Sochi yet .,"It 's possible I will join them , because I have never been to Sochi and everyone should visit this wonderful city once in their life ."
"It 's possible , I will join them , because I have never been in Sochi and everyone should visit this wonder city one time of their life .","Well , I do martial arts ."
"Well , I 've played martial arts .","They 're more for self - defense , but what I do , and my way to stay healthy , is martial arts and running ."
"They 're more for self - defense but for what I do , and my way to stay healthy , is martial arts and running .","I suppose I would have to say that , in Japan , Sumo is my favorite sport for watching ."
"I would suppose I would have to say , in Japan Sumo is my favorite sport for watching .","I would probably have to be three times as big as I am to even begin to qualify for something like that but , yeah , I enjoy watching it a lot ."
"I would have to probably be three times as big as I am to even begin to qualify for something like that but , yeah , I enjoy watching it a lot .","I have to start saying that I never imagined swimming as my favorite sport , because until my back injury , I did other sports . I mostly like extreme sports like downhill skiing , skateboarding , martial arts like Aikido , jiujitsu or ninjutsu , but because of my injury I had to start swimming and now I love it ."
"I have to start saying that I never imagine swimming like my favorite sport , because until my back 's injury , I practiced other sports , I most like extreme sports like downhill , skateboarding martial arts like Aikido , jiujitsu or ninjutsu , but for my injury I have to start swimming and now I love it .","The reason why I enjoy this sport is because I feel free when I am in the water , it is so relaxing and I have read it is the most complete sport because you work the whole body ."
"The think because I enjoy these sport is I feel free when I am in the water , it is so relaxing and I red it is the most completely sport because you work the whole body .","If you want to start swimming , I think you should look for a swimming teacher because if ca n't swim , you need one , and if you can swim but not well , if you are not in practice and know your swimming style is not the best , I recommend professional assistance ."
"If you want to start swimming I think you should looking for a swimming teacher because if ca n't swim , you must need it , and if you can swim but not well , if you are not on practice and know your swim style is not the best I recommend you a professional assistance .","More time that you do n't have that assistance , it is going to be more difficult to improve your style and enjoy swimming more , because if you really know how to swim you will have more resistance in the water ."
More time that you do n't have that assistance is going to be more difficult improve your style and enjoy swimming more because if you really know how to swim are going to have more resistance in the water .,She works at a language school at the local university .
She works at a language school in local University .,I think that may be the reason she had Sleep Paralysis last night .
"I think , that may the reason she had the Sleep Paralysis last night .","In Korea , we call it ' Ka - Wee - Nool - Rim ' , which means being pressed by a ' Ka - wee ' , or ghost ."
"In Korea , we call it ' Ka - Wee - Nool - Rim ' which means being pressed by ' Ka - wee ' ghost .","Yes , she actually felt as if someone was pressing down on her chest with their hand ."
"Yes , she actually felt as if someone was pressing down on her chest by hands .","She was not even able to lift a single finger tip , as if she had been turned into a stone statue ."
Even she was not able to lift single finger tip as if she was turned into a stone statue .,"Then , she realized that four indistinct strangers were staring at her , standing just beside the bed ."
"Then , she realized that four indistinct strangers were staring at her as standing just beside bed .",She was so scared .
She was so scared and frightened .,She tried screaming and calling me as I was sleeping peacefully beside her .
She tried screaming and calling me who was sleeping peacefully beside at her .,She could n't open her mouth to say anything at all .
"She could n't open mouth , say anything at all .","Even worse , two of them started whispering in her ears , die … die .. ."
"Even worse , two of them started whispering on her ears , die … die ..",I was watching a YouTube clip on my iPad .
I was watching a YouTube clip by my iPad .,She reproached me for not waking her up despite the fact that she had been calling me so eagerly .
She reproached me for not awaking her up despite she had been calling me so eagerly .,"It was just a dream , but very real ."
"It was just a dream , very real like .",They think they really opened their eyes and woke up since it is so vivid and detailed .
They think they really opened eyes and awaken since it is too vivid and detailed .,"Often they explain and describe the scene in detail like a cup on the table , friends who are watching TV beside them , a room light and so on ."
"Often they explains and describe the scene in detail like a cup on table , friends who watching TV beside them , room light and so on .","But nothing is real . They realize that no cup is on the table , no one is in the room , and the light is off ."
"But nothing is real . They realize that no cup is on table , no one is at room , and the light is off .","Commonly , the dreamers say that they :"
"Commonly , the dreamers say that they ;",- experience it when they are very tired physically and very stressed .
- experience when they are so tired physically and so stressed .,- feel drowning down when they are about to fall asleep ( so they know it will happen ) .
#NAME?,- feel a lot of pressure on their body and can not move in the dream .
- feel a lot of press on body and can not move in dream .,- see someone or some people standing beside or riding on them .
- see someone or some people as standing beside or riding on them .,Some experience this very easily and often .
Some experience so easily and often .,The most scary case I heard is that the ghost pulled her under the bed while stabbing her chest with a sharp gimlet .
Most scary case I heard is that the ghost pulled hair into under bed as stabbing chest with a sharp gimlet .,Hi ! My name is Cátia and I am a student of electrical engineering .
Hi ! My name is Cátia and I am a student of electronic engeneering .,"I am in the third year at university , I do n't know what the Master 's will be that I am going to do , but I want a Master 's related to programming ."
"I am on third year at the university , I do n't know what will be the master than I go to make , but I want a master relationed with programming .","I have many difficulties with programming , but I think that if I work hard I can overcome my difficulties ."
I have many difficulties in programming but I think that if I work hard I can to win my difficulties .,"In the last few days , I and my group did some experiments for our project ."
On last days I and my group made some experiences for our project .,Next week we are going to prepare some equipment to solve this problem .
The next week we go to prepare some material for to resolve this problems .,I want to write a review of my book about Nigeria and read another book about robots and their mechanisms .
I want to make a review about my book about Nigeria and read another book about robbots and their mechanism .,"I am going to try to read these books to improve my English , because in the future I intend to take the first certificate ."
"I go to try read this books for to evoluate my english , because in the future I intend to make the first certificate .",This is very important for me because when I work for a company I will need a certificate ! ! !
This is very important for me because when I went for a company I will need a certificate ! ! !,How are you ? I have just received your letter .
How are you ? I have receive you letter in this moment .,"I think that you can to come to my country if you want , because I will help you ."
I think that you can to come to my country when you want because I will help you .,"In the first place , I think that you must look on the internet . You will see different cities of this country and you can choose the best ."
"In the first place , I think that you must look to internet . you would see diferents city of country and you can choose the best .","In my opinion , you must go to Madrid or Barcelona because they are the most attractive ."
"In my opinion , you must go to Madrid or Barcelona because its are more atractives .","Barcelona is big and there is a lot of industry , so there are a lot of jobs ."
Barcelona is big and there are a lot of indutries so there a lot of jobs .,"Also , Madrid is a nice city . You can to find everything that you need ."
"Also , Madrid is a nice city , you can to find all things that you need .","In Madrid there are some jobs , too , and you will be near me ."
In Madrid there are some jobs too and you will be near me .,"Spanish food is fantastic , there are a lot of restaurants for you to eat at and I think that the food is more expensive than in your country ."
"Spanih 's food is fantastic , althouh there are a lot of restaurant for eat you and i think that the food is more expensive than your country .","If you do n't like Spanish food , you can go to a restaurant with food from another country , but I know you love it ."
"If you do n't like spanish 's food you can go restaurant the other country , but i know you love it .","On the other hand , people are friendly , as you know , because you know some Spanish people ."
"On the other hand , people is friendly as you know , because you know some spanish person .","You must come , because I think that you would love my country and I can always help you ."
you must come because I think that my country would you love it and i always help you .,I hope you come here .
I hope to come you here .,He picked up the keys and quickly left the house .
He picked up the keys and came out fast the home .,"As he was going down the stairs from the fourth floor , his neighbour Mary stopped him ."
By the time he was going down the stairs from the fourth floor his neighbour Mary stopped him .,He needed to arrive at the train station on time .
He needed to arrive at the Train Station on time .,"The widow woman , who was very nice , gave a present to Peter ."
The widow woman who was very nice gave a present for Peter .,"The young Polish man was very grateful and replied to the woman : "" Thank you , it hasn't to make any present """
"The young Polish very grateful replied to the woman : "" Thank you , it hasn't to make any present ""","Mary smiled to Peter and said : "" You are welcome . Now , you have to enjoy your family ."
"Mary smiled to Peter and said:""You are welcome , now , you have to enjoy your family .","It was a pity for Peter to leave Bath , but he had to go back to his country ."
"It was a pity for Peter to leave Bath , but he had to come back at its country .","I 'm so glad you are coming to my country . I 'll give you some suggestions , hoping that you can have a wonderful summer vacation !"
"I 'm so glad you come to my country . I 'll give you some suggestions , hoping that you can have a wonderful summer vacation !","It not only offers a high salary , but also , the employees there are kind ."
It not only offers high salary but also the employee there is kind .,You should be able to have a great experience .
You must can gain a great experience .,"When it comes to travelling , you must not miss the night markets ."
"When it comes to travelling , you can never miss night markets .","There , you can have a taste of cuisine from all around the world , which will make you freshen up ."
"At there , you can have a taste of cuisine from all around the world which will make you freshen up .","Moreover , once you have a bite on a sausage , you will fall in love with it ."
"Moreover , once you have a bite on sausage , you must fall in love with it .",I will help you as much as I can .
I will help you as much I can .,Hope you will have a good time .
Hope you can have a good time .,Peter looked at his watch and knew that he had to do something immediately .
Peter looked at his watch and knew that he has to do something immediatele .,He had forgotten to go to his English classes .
He had forggoten to go to his English classes .,It was half past seven and his class had begun fifteen minutes ago .
It was half past seven and her class begun fifteen minutes ago .,"Last week , his mother told him that he had to go to his classes if he wanted to hang out with his friends ."
Last week her mother told her that he had to go to his classes if he wanted to hang out with his friends .,"He already knew that he was late , but he could not go now , so he decided to deceive his mother ."
"He already knew that he was late but he could not go now , so he decided to cheat her mother .",But he did not realise something . His little brother was watching him through the window .
"But he did not realise something , His little brother was watching him througt the window .","When his mother came back from work , her little son told her what his brother had done ."
"When her mother came back from work , her little son told her what his brother had done .",She was very angry and she could not believe that her son had done that .
She was very angry and she could not believe that her son did that .,"After that , Peter did not hang out for three months , so he could learn his lesson . You must not lie to or deceive your mother ."
"After that Peter did not hang out for three months , so he can learn the lesson , You must not lie or cheat to your mother .","I think that public transport is always going to be very important in our life , because not all people have the possibility to buy a car , and because public transport is less expensive than a car . So for that reason , public transport in the future could exist , because public transport is a necessity all over the world , not only because of money , but also for the facility to take a bus or any other public transport ."
"I think that the public transport always going to be so important in our life because not all the people have the possibility to buy a car because the public transport is more expensive than a car , so for that reason the public transport in the future could be exist , because public transport is a necesity in all the world not only for the money but too for the facility to take a bus or any other public transport","I went to the nature section , which is interesting as it is about natural aspects on earth like the elements , rocks and periods of life related to organisms ."
"I went to nature section , which is interesting as it is about natural aspects on earth like elements , rocks and periods of life related to organisms .","The section was big and it presented a lot of information in a scientific manner , some sections had complete information while others had not ."
"The section was big and it had a lot of information in a scientific manner , some section had complete information part while other had not .",Beginning with one of the complete parts that I preferred and liked I 'm going to write about the Ice Age .
Beginning in one of the complete parts that I preferred and liked I 'm going to write about the Ice age .,"It was a period of time in earth 's history when temperatures fell globally , causing ice sheets and glaciers to form far from the north and south poles ."
"It was a period of time in earth 's history when temperatures fell globally , causing ice sheets and glaciers to form far from the north and south pole .",What did you learn about debates ?
¿ What did you learn about debates ?,Teach us about debates .
Teach about a debates .,How to be good debaters .
How be a good debaters .,He uses a rule for debates : proposition + result = positive or negative ( Why ? )
He uses a rule for debates : preposition+ result = positive or negative ( Why ),A hot spot is a place where the debaters can explain the idea .
Hot spot is a place where the debaters can explain the idea .,The hot spot helps to get more confidence .
Hot spot helps to get more security .,Always in front of your audience .
Always infront on your public .,"The result depends on : confidence , volume of the voice , body posture and audience ."
"The result depend : security , volume in the voice , body posture and public .","The main idea is to keep the body , take the mind ."
"The main idea is keep the body , take the mind .",Great debaters have to believe in their idea .
"The great debaters , have to believe in your idea .","The idea does n't matter , only the arguments ."
"Does n't matter the idea , only the arguments .",I do n't know is n't an answer .
I do n't know is n't anwer .,"An important deal , is never to quit ."
"An Important deal , is never quit .",A debate is combat .
Debates is a combat,Peter had just got out of school and he realized that he was late for his weekly guitar lesson .
Peter has just got out by school and he realized that he 's overdue for his weekly guitar lesson .,"But before the lesson , he had to have lunch with his family and take the dog to the vet 's for his annual vaccine ."
"But before the lesson , he has to lunch with his family and leading the dog from the veterinary for his annual vaccine .","Peter had a quick lunch in ten minutes , spent another two minutes finding the bike and putting the dog in the basket ; at the vet 's surgery , three people were waiting , so Peter was forced to wait ."
"Peter gets a fast lunch in ten minutes , other two minutes for finding the bike and putting the dog on the basket ; at the office of the veterinary three people wait , so Peter is forced to wait .","After an hour , the dog was vaccinated and taken home , but his mother needed a bottle of milk ."
"After an hour the dog is vaccined and taken at home , but her mother needs a milk bottle .","Unfortunately , Anne , his sister , had just taken the bike , so he was forced to walk to the nearest supermarket ."
"Unfortunately Anne , her sister , has just taken the bike , so he 's forced to walk until the nearest supermarket .","Peter 's mother needed a special kind of milk without lactose , and the market near home did n't have it ."
"Peter 's mother needs a special kind of milk without lactose , and the market behind home does n't have it .",So Peter had to make a choice : going to the lesson or waiting for his father to get home to get the milk with the car ?
So Peter had to make a choice : going at the lesson or waiting his father for getting to take the milk with the car ?,"After an exhausting afternoon , Peter had a bit of luck . In fact , his father , Jack , had just come back from work , so he could go to get the milk and giving him a lift ."
"After an exhausting afternoon , Peter has a bit of luck , infact his father Jack has just came back from the work , so he could get to take the milk and giving him a passage .","With a little delay , Peter made it !"
"With a little delay , but Peter did it !","First , I want to introduce myself ."
"firstly , I want to introducude my self .",I am a young woman with a melancholy character .
I am a young women with a melancoly 's character .,I have many problems with my speaking skills .
I have many problem with my speaking skill .,"If I am in public and want to give a presentation , I always get nervous ."
"if stay of the public and want to do presentation , I always get nervous .","I do n't know why , it 's always happened to me ."
"I do nt know why , it 's always accur to me .","Sometimes , I feel so stupid because I really ca n't speak in front of the public ."
"sometimes , I feels so stupid because I really ca n't speak in front of the public .","Second ,"
second .,I love writing but I am not confident about my grammar .
I love bwrite but I not confidance with my grammar .,I make many mistakes in every story I write . I use the wrong tense .
I do many mistake in every story I already right down . the wrong tense I used .,"I call this mistake "" Du "" ."
"I call this mistake with "" Du "" .","Why "" du "" ? Yeah ..."
"Why "" du ? "" . yeah ..",because I love using this word .
because I love used this word .,I have no idea after this sentence .
I have no idea after this sentense .,"As the population grows , you will see an increasing problem ."
"As the population grows , you will an increasing problem .","Therefore , public transportation is the future and more and more people will be using the metro , public buses etc ."
"Thereore , public transportation is the future and more and more people will be using the metro , publis buses etc .",They cause pollution .
They have pollution .,Sport is an activity that helps people be in an optimal physical condition .
Sport is the activity that help the people at have an optimal physical .,"My favourite sport is football . It is a complete sport ; there are aggression , mentality and fun ."
"My favourite sport is football , it is a complete sport , there are aggression , mentality and fun .","My favourite football club is Napoli . It is the heart club . For this team , I feel indescribable emotions ... when I see my team , I smile in moments of joy , I cry in moments of sadness and suffering and rejoice when they score and win the game ."
"my favourite football club is Napoli , it is the heart club , for this team I feel indescribable emotions ... when I see my team , I smile in moments of joy , I cry in moments of sadness and suffering and rejoice when they score and win the game .","I advise all people that want to start this sport to begin , because this sport helps to grow and mature ."
"i advice at all people that want start sport of they do begin , because this sport helps to grow and mature .","Working in your own company is very challenging because you deal with a lot of areas , manage all departments and learn about business , management , economics , sales , engineering , technical support and other skills ."
"work in your own company is very challenging because you deal with a lot of areas , manage all departments and learn about busines , management , economics , sales , engineering , tecnical support and other skills .","You are responsible for your workers and customer satisfaction . However , it is very satisfying to see how your own company is growing and your customers returning because they loved your work ."
"you are responsible for your workers and the customer satisfaccion , However is very satisfying to see how your own company is grow up and your customers return again because they loved your job .","That work looks depressing , demanding and stressful , but it is very rewarding and if you like the challenges you will never be bored ."
"that work looks depressing , demanding and stressful but is very rewarding and if you like the challenges you never will bored",hope you are fine . Please know that I miss you so much and I hope to see you soon .
"hope you are fine , kindly be know that I miss you so much and I hope to see you soon .",I 'm very happy to know that you want to come to Egypt and work here .
I 'm very happy to know that you want to come to Egypt and work in it .,Here are some tips about the Egyptian people .
Here are some tips about the Egyptian people,"They are so kind , friendly , and stressed because they have a lot of problems nowadays . The level of poverty , the standard of living , the fixed cost is increasing dramatically and the purchasing power is decreasing ."
"they are so kind , friendly , stressed but have a lot of problems now days the level of poverty , standard of level , the fixed cost is increasing dramatically and the purchasing power is decreasing .",The salary or the income in Egypt does not match this increase or this inflation .
The salary or the income in Egypt does not match with this increase or this inflation .,"So , if you want to work in Egypt , you must have complete information about the job ( location , salary , incentives , allowances , work environment , position title , company type , policy , mission , vision )"
"So if you want to work in Egypt you must have a complete information about the job ( location , salary , incentives , Allowances , work environment , position titles , company type , policy , mission , vision )",With best wishes
With best Wishes,Military service is when people are forced by the government to be a part of the army to serve and protect the country .
Military service is people who is forced by the government be a part of the army to serve and protect the country .,"There are many countries where people have to do military service when they reach 18 , such as Taiwan , South Korea and Singapore ."
"There are many countries which should be complete the military service when people who reach 18 such as Taiwan , South Korea and Singapore .",The duration of military service should be from around 12 months to 20 months .
The duration of the military service should be around 12 mouths to 20 mouths .,"Also , there are different types of training during military service . People generally do a lot of training in obedience or how to use weapons ."
"Also , there are different sections of training during the military service people generally do a lot of training to their obedience or how to use the weapons .","Thus , there is a source of agreement and another source of disagreement , which is freedom of choice and mental maturity ."
"Thus , there is a cause of agreement and another cause of disagreement which is freedom of choice and mental maturity .","As this topic , one of the reasons why everyone should not have to complete military service is because of freedom of choice ."
"As this topic , the one of the reason of everyone should not have to complete the military service because the freedom of choice .",Some people may think it is a human right that we let people choose if they want to join the military .
Some people may think it seem to be a human rights that let the people to choose if they want to join the military .,"Otherwise , when people are forced by the government , they probably feel the freedom of choice is restricted ."
"Otherwise , when the people are forced by the government , they probably feel the freedom of choice is restricted .",So some counties do not force people to join the military .
So some counties would not force the people to join military .,"In contrast , it could be a benefit that improves their mental maturity ."
"In contrast , it could be the benefit that improves their mental maturity .","If people do military service when they are just 18 , they may learn a lot of life skills as there are quite a high claim in the military and the chancellor who works in the military may request the soldiers that everything frequently be regular ."
"If people join the military service when they just 18 , it may learn a lot of life skills as there are quite a high claim in the military and the chancellor who work in the military may request to the soldiers that everything frequently be regular .","For instance , they usually need them to fold up a quilt at a specified angle or there is a specific time that you must wake up and go to sleep ."
