"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
"Related with accommodation , I 'd prefer to stay in log cabins .","Regarding accommodation , I 'd prefer to stay in a log cabin ."
"Although I like camping and sharing with different kind of people , I 'd prefer a confortable and private place ( if it 's possible ) where I can sleep , or be quiet .. I am not a teenager !","Although I like camping and sharing with different kinds of people , I 'd prefer a comfortable and private place ( if it 's possible ) where I can sleep , or be quiet .. I am not a teenager !"
I want to do two activities ; painting and tennis .,I want to do two activities : painting and tennis .
"The first one is for my mental health , I need a break in my style of life .",The first one is for my mental health . I need a break from my lifestyle .
the second one is just because I 'm fanatic of that sports ( really I 'm not martine hingis ) .,The second one is just because I 'm a fan of that sport ( really I 'm not martine hingis ) .
"Eventually , I 'd like to request to have special food , because and vegetarian person , besides I try to eat just organic food .","Eventually , I 'd like to request some special food , because I 'm a vegetarian , besides I try to eat just organic food ."
I hope my reply has been suitable .,I hope my reply has been helpful .
It have been a long time since the last time I wrote you ... I 'm sorry .,It has been a long time since the last time I wrote to you ... I 'm sorry .
However the reason is absolutely amazing .,"However , the reason is absolutely amazing ."
I was training to be a personal assistance to Madonna herself .,I was training to be a personal assistant to Madonna herself .
"Maybe , you do n't believe me , but it 's true .","Maybe you do n't believe me , but it 's true ."
I applied to the job and she selected me between hundreds of candidates ( I do n't receive salary ) .,I applied for the job and she selected me from hundreds of candidates ( I do n't receive any salary ) .
My work is to help her during each concert .,My job is to help her during each concert .
"You know , she has a brilliant performance where she must change her customs , make up , scenery , everytime ; so she needs a lot of people near .","You know she has a brilliant act where she must change her costumes , make - up , the scenery , every time ; so she needs a lot of people near ."
"My first job was in the Hillsborough 's concert ( I think , you heard about it ) .",My first job was at the Hillsborough concert ( I think you heard about it ) .
"I was running all the show , my responsability was to get dress her .",I was running the whole show . My responsibility was to dress her .
"I was n't alone , I worked with a staff of ten people .",I was n't alone . I worked with a staff of ten people .
"We had to take of some clothes and then to put on others ones completly different , in just few minutes ( similar to Formula One ) .",We had to take some clothes off her and then to put on other completely different ones in just a few minutes ( similar to Formula One ) .
"I was exhausted when the concert finished , anyway it has been one of my best experience and I 'll remember for life .",I was exhausted when the concert finished . Anyway it has been one of my best experiences and I 'll remember it for ever .
"Finally , I send you all my positive energy and I am looking forward to receiving your letter back .","Finally , I send you all my positive energy and I am looking forward to receiving your reply ."
I spent two days at annual international arts festival from 21 to 22 of November .,I spent two days at the annual international arts festival from 21 to 22 of November .
This festival was well - orginised .,This festival was well organised .
I relly liked exhibitions .,I really liked the exhibitions .
"The Band "" Three Kings "" apresented new stily of music .","The band "" Three Kings "" presented a new style of music ."
I would like to notice that a dance show was absolutelly marvelous .,I would like to notice that the dance show was absolutely marvellous .
What 's a greit idea to invite writers there ! I relly liked to speak with them .,What a great idea to invite writers ! I really liked talking with them .
From my point of view I can complain only on a small concert hall and there were artist from only six countries .,From my point of view I can complain only about the small concert hall and the fact there were artists from only six countries .
"Nowadays many people fond of classical music , but this concert was too small that 's why many people had to miss this classical concert .","Nowadays many people are fond of classical music , but this concert was too small . That 's why many people missed this classical concert ."
"You wrote an advertisment that people from more than 15 deferent countries were going to visit this concert , but there were artists only from 6 countries .","You wrote an advertisement saying that people from more than 15 different countries were going to visit this concert , but there were artists from only 6 countries ."
It was relly pity because I expected to see artists from France and Italy .,It was really a pity because I expected to see artists from France and Italy .
The International Arts Festival was organised quite well . I would only recomended you to have more artists and a classical concert should be in bigger hall than it was .,The International Arts Festival was organised quite well . I would only recommend you have more artists and the classical concert should be in a bigger hall .
One man and one woman lived in small house beside the sea .,One man and one woman lived in a small house beside the sea .
There names were Ivan and Maria .,Their names were Ivan and Maria .
They were so pour that somitimes they hardly had something to eat .,They were so poor that sometimes they hardly had anything to eat .
"It was n't usual fish , it was Gold Fish and it asked him as human ; ' Please , let me go and I can do for you anything you want ' .","It was n't a normal fish . It was a Gold Fish and it talked to him like a human : ' Please , let me go and I can do anything you want for you ' ."
But Ivan was so kind person that he let Gold Fish went without any condition .,But Ivan was such a kind person that he let Gold Fish go without making any conditions .
He told her wife about this story .,He told his wife this story .
She was angry and she said that Ivan was just foolish man .,She was angry and she said that Ivan was just a foolish man .
She persuide him to go to the sea to ask a lot of things for her .,She persuaded him to go to the sea to ask for a lot of things for her .
Gold Fish did everything what Ivan asked .,Gold Fish did everything that Ivan asked .
"When he come back home , he was surprise because Maria was more angry than before .","When he came back home , he was surprised because Maria was more angry than before ."
She said that it was n't enough what Gold Fish had done for her .,She said that what Gold Fish had done for her was n't enough .
"In the end , greedy Maria wanted impossible thing .","In the end , greedy Maria wanted impossible things ."
She said that Ivan should bring Gold Fish to home and Ivan could leave this house because she did n't need him anymore .,She said that Ivan should bring Gold Fish home and Ivan could leave their house because she did n't need him anymore .
Maria and Ivan were again poor .,Maria and Ivan were poor again .
I am working as an actor for The Spanish Royal Theatre .,I work as an actor for The Spanish Royal Theatre .
I had spent the hole last week in London with one of my colleagues .,I spent the whole of last week in London with one of my colleagues .
"We thought that going to the musical show "" Over The Rainbow "" was ( as you say in your advertisement ) the perfect evening out and the perfect end of our stay in your city .","We thought that going to the musical show "" Over The Rainbow "" would be ( as you say in your advertisement ) the perfect evening out and the perfect end to our stay in your city ."
But from the beginning we found a lot of problems .,But from the beginning we had a lot of problems .
Despite we are actors we had to pay a full ticket because the discounts you promise are not available on Sundays .,Despite being actors we had to pay for a full - price ticket because the discounts you promise are not available on Sundays .
We tried to complain but the girl at the tickets desk was very unpolite .,We tried to complain but the girl at the ticket desk was very impolite .
"However , we decided to get into the show .","However , we decided to go to the show ."
Danny Brook is a good friend of mine and our purpose was to give him a surprise .,Danny Brook is a good friend of mine and our intention was to give him a surprise .
"You can imagine how were our faces like when we saw that it was not Danny , but Peter Fox , who was on the stage .","You can imagine what our faces were like when we saw that it was not Danny , but Peter Fox , who was on the stage ."
"Nevertheless we decided to stay there till the end of the show and to take dinner in your restaurant , where we were supposed to meet some friends ; friends that we never met because your restaurant was closed when we got out .","Nevertheless we decided to stay till the end of the show and to have dinner in your restaurant , where we were supposed to meet some friends ; friends that we never met because your restaurant was closed when we got out ."
I am sure that the restaurant closed at its closing - hour but you have to remember that the show began 45 minutes late .,I am sure that the restaurant closed at its closing time but you have to remember that the show began 45 minutes late .
"As you can read it was not our "" perfect evening out "" at all .","As you can see it was not our "" perfect evening out "" at all ."
I realize that managing a theatre is a hard work but I have to ask you the money of the tickets back .,I realize that managing a theatre is hard work but I have to ask you for the money for the tickets back .
"Next time it would be a good idea to put the possible changes on the advertisement , before the starting time of the show .","Next time it would be a good idea to put the possible changes in the advertisement , before the start of the show ."
"I am waiting your answer ,","I am waiting for your answer ,"
My composition is going to focus in two main ideas : how the modern technology has changed my home life and how it affects my personal and professional life .,My composition is going to focus on two main ideas : how modern technology has changed my home life and how it affects my personal and professional life .
Technology makes easier the work at home .,Technology makes housework easier .
"During the winter , when it is raining , you can have your clothes dry in less that thirty minutes .","During the winter , when it is raining , you can have your clothes dry in less than thirty minutes ."
I am thinking mostly on computers .,I am thinking mostly of computers .
The computer allows me to change my ideas without any effort and to store a big amount of information in the minimum space .,The computer allows me to change my ideas without any effort and to store a large amount of information in the minimum space .
"Also , the e - mail system is really hepful .","Also , the e - mail system is really helpful ."
Thanks to the advance of Internet I can contact lots of colleagues all around the world everyday ( and with the minimum cost ) .,Thanks to the invention of the Internet I can contact lots of colleagues all around the world every day ( and with the minimum cost ) .
"But , on my opinion , the best thing is that I can stay at home or going on holidays , and send my work to the office everyday .","But , in my opinion , the best thing is that I can stay at home or go on holiday , and send my work to the office every day ."
I would like to travel only in July because I have been working in a bank and I can only go on a holiday in July .,I would like to travel only in July because I am working in a bank and I can only go on holiday in July .
I would prefer to stay in a tent because I used to go camping and stay in the tent .,I would prefer to stay in a tent because I used to go camping and stay in a tent .
I am interested in tennis but I am not so good tennis player .,I am interested in tennis but I am not so good a tennis player .
However I would like to attend tennis activity .,"However , I would like to attend tennis activity ."
In addition swimming would be good activity for me .,In addition swimming would be a good activity for me .
"While I was studying at the high school and the university , I was in the swimming team of the school .","While I was studying at the high school and the university , I was in the swimming team ."
I would like to ask you about clothes and the money .,I would like to ask you about clothes and money .
"When I go there , can I use credit card or should I have cash ?","When I go there , can I use a credit card or should I have cash ?"
When you ask some people to learn their opinions about shopping they can tell you they do n't like shopping but I suppose it is not true .,When you ask some people to express their opinions about shopping they might tell you they do n't like shopping but I do n't suppose it is true .
"For example me , when someone asked me about shopping I would say that I had n't liked it .","For example , when someone asked me about shopping I would say that I did n't like it ."
"However now if someone asks me the same question my answer will be "" yes , I like it "" .","However , now if someone asks me the same question my answer will be , "" Yes , I like it "" ."
When people hear this word shopping they only think about to go some stores and try new clothes or shoes and search for their size and so on .,When people hear this word shopping they only think about going to some stores and trying on new clothes or shoes and searching for their size and so on .
They do n't think about other kind of shopping which are liked by themselves .,They do n't think about other kinds of shopping which are liked by themselves .
Maybe they like shopping on internet or window shopping does n't matter what kind of shopping they like .,Maybe they like shopping on the Internet or window shopping ; it does n't matter what kind of shopping they like .
There are a lot of shopping style on the world I am sure everybody prefer one of them .,There are a lot of shopping styles in the world . I am sure everybody likes one of them .
"In my opinion , even though people say shopping is not always enjoyable , there are always some fun you can find .","In my opinion , even though people say shopping is not always enjoyable , there is always some fun you can have ."
Circle Theater,Circle Theatre
I am writing to complaint about a very disappointing evening I recently had during a week 's holiday in London .,I am writing to complain about a very disappointing evening I recently had during a week 's holiday in London .
"My girlfriend and I read an advertisement about the show "" Over the Rainbow "" which is very popular .","My girlfriend and I read an advertisement for the show "" Over the Rainbow "" , which is very popular ."
"When we asked for discounts tickets , we were said there never were discount offers and that we had to pay the highest tickets - £ 20 each - because we were not English students .","When we asked for discount tickets , we were told there never were discount offers and that we had to pay for the most expensive tickets - £ 20 each - because we were not English students ."
We were annoyed about it but we paid off .,We were annoyed about it but we paid up .
We had to wait 8.15 pm before it started whereas the show was supposed to start at 9.30 pm !,"We had to wait until 8.15 pm before it started , whereas the show was supposed to start at 9.30 pm !"
After that we thought we could have a drink in your theatre restaurant but it was closed because the decorations were being changed .,After that we thought we could have a drink in your theatre restaurant but it was closed because the decor was being changed .
"Finally we had the worst evening I have ever imagined , it was definitely not the "" perfect evening "" as written in the adverstiment .","Finally we had the worst evening I have ever imagined , it was definitely not the "" perfect evening "" as written in the advertisement ."
"So I want my money back for these two tickets - I have included a copy - and I hope you will pay more attention to the way you treat your customers , and avoid false advertisement .","So I want my money back for these two tickets - I have included a copy of them - and I hope you will pay more attention to the way you treat your customers , and avoid false advertising ."
Your children clothes in 100 years,Your children 's clothes in 100 years
Fashion is changing so quickly that all our dreams about clothes can become true .,Fashion is changing so quickly that all our dreams about clothes can come true .
"In a hundred years , clothes would certainly be totally differents than ours .","In a hundred years , the clothes will certainly be totally different from ours ."
"Materials , textures and colours change , and are minds too .","Materials , textures and colours change , and our minds too ."
"So I think people will wear clothes made of recycled things , like bottles of aluminium .","So I think people will wear clothes made of recycled things , like aluminium bottles ."
I think men will still wear pants and jackets but maybe not in jeans .,I think men will still wear pants and jackets but maybe not jeans .
Syntethic materials have grown up and become very popular so it would keep going on .,Synthetic materials have developed and become very popular so they would keep going .
"But maybe the shape of the clothes will changed : large pants as "" baggy "" , or trousers with many pockets as we see today .","But maybe the shape of the clothes will change : large "" baggy "" pants , or trousers with many pockets as we see today ."
"For women , clothes change more than for men 's .","For women , clothes change more than for men ."
It maybe because they are more likely to try new ways of clothes .,It maybe because they are more likely to try new ways of dressing .
"I guess they will wear a sort of tunique upon a shirt and a skirt , or more male clothes because they want to change .","I guess they will wear a sort of tunic over a shirt and a skirt , or more masculine clothes because they want to change ."
Finally it 's very difficult to say that .,Finally it 's very difficult to say what .
"Maybe Luc Besson 's "" Fifth Element "" movie is quite a good example .","Maybe Luc Besson 's movie "" Fifth Element "" is quite a good example ."
"To conclude , in the end clothes wo n't be what we think about today , and it 's a good thing because we can only imagine and follow the trend of fashion that makes us feel pretty and happy .","To conclude , in the end clothes wo n't be what we think they will be today , and it 's a good thing because we can only imagine and follow the trend of fashion that makes us feel pretty and happy ."
"This trip will be very important for me , that is why I am interested in travelling to U.S.A as soon as possible .",This trip will be very important for me . That is why I am interested in travelling to the U.S.A as soon as possible .
"I would like to travel on July because I will be on winter holidays , so I will not miss classes at school .","I would like to travel in July because I will be on my winter holidays , so I will not miss classes at school ."
I would really prefer to stay in tents because I love sleeping outdoors and listening noises from outside .,I would really prefer to stay in a tent because I love sleeping outdoors and listening to the noises from outside .
I was wondering the kind of clothes that I will have to wear and finally could you tell me how much money I will have to take ?,I was wondering about the kind of clothes that I will have to wear and finally could you tell me how much money I will have to take ?
I look for ward to receiving more news .,I look forward to receiving more news .
"I 'm writing because I know that you 're interested in listening my experience in which I enjoyed helping at a pop concert last month , perhaps in the future you 'll be able to help too .",I 'm writing because I know that you 're interested in hearing about my experience when I enjoyed helping at a pop concert last month . Perhaps in the future you 'll be able to help too .
"If you want to help at a pop concert you 'll have to write down yourself in a competition as I did , then , if you win the organiser will phone you and you 'll be able to help them .","If you want to help at a pop concert you 'll have to write about yourself in a competition as I did , then , if you win the organiser will phone you and you 'll be able to help them ."
"At the concert I had to clear and organized all the people who were in , but at the end of the night I was able to talk with one of my favourite pop singer .","At the concert I had to clear and organize all the people who were there , but at the end of the night I was able to talk with one of my favourite pop singers ."
I think that it was the experience I particularly liked most and which I will never forget .,I think that was the experience I liked most and which I will never forget .
"According to your letter , I should tell you when I would like to travel and I think July is the best time for me because I will be on summer vacations so I would not have to miss any classes .","According to your letter , I should tell you when I would like to travel and I think July is the best time for me because I will be on summer vacation so I would not have to miss any classes ."
"About the accomodation , I would prefer tents because I enjoy the contact with nature as well as camping activities .","About the accommodation , I would prefer a tent because I enjoy the contact with nature as well as camping activities ."
"As I may choose the two activities I would like to practise during my staying at the Camp from the list given in your letter , I choose singing and photography .","As I may choose the two activities I would like to do during my stay at the Camp from the list given in your letter , I choose singing and photography ."
I have been taking singing classes since I was ten years old so I am pretty good at it .,I have been taking singing lessons since I was ten years old so I am pretty good at it .
"On the other hand , I am a beginner in photography skills .","On the other hand , I am a beginner at photography skills ."
I would appreciate if you could inform me if I have to bring any money for extra costs or even special kind of clothes for those activities .,I would appreciate it if you could inform me if I have to bring any money for extra costs or even any special kind of clothes for those activities .
These days people have been shopping more often than they used to .,These days people are shopping more often than they used to .
Sometimes shopping can be a stressing experience though people think of it as an enjoyable part of their lives .,Sometimes shopping can be a stressful experience though people think of it as an enjoyable part of their lives .
"First of all , shopping can be a good thing if it is a possibility to forget about all the problems you have , even if it is just for a moment .","First of all , shopping can be a good thing if it is a chance to forget about all the problems you have , even if it is just for a moment ."
"On the other hand , sometimes you can get really nervous about shopping like when you have to deal with unhelpful shop assistants .","On the other hand , sometimes you can get really irritable shopping , like when you have to deal with unhelpful shop assistants ."
It is a very common fact these days and you have to be patient if you really want to buy something .,It is a very common phenomenon these days and you have to be patient if you really want to buy something .
"Furthermore , sometimes you can not find a variety of goods and you eventually buy a low quality product .","Furthermore , sometimes you do not find a variety of goods and you eventually buy a low quality product ."
"In conclusion , like all things in life , shopping can be pleasent or irritating depending on your patience and on your mood that day .","In conclusion , like all things in life , shopping can be pleasant or irritating depending on your patience and on your mood that day ."
"At first , I want to say how I am happy to have won this prize and I want to thank you .","First , I want to say how happy I am to have won this prize and I want to thank you ."
Concerning the information you want I will give them .,"Concerning the information you want , I will give it ."
I would like to travel on July because this is the only month given to me by my employer .,I would like to travel in July because this is the only month off given to me by my employer .
"Concerning the two activities I have to choose , I would prefer to swim and play tennis ( I have a good level in each sports ) .","Concerning the two activities I have to choose , I would prefer to swim and play tennis ( I have a good level of proficiency in each sport ) ."
Finally I would like to know how much money I have to prepare and which sorts of clothes are usually weared in California .,Finally I would like to know how much money I have to bring and what sorts of clothes are usually worn in California .
Many classes and activities are important in our school But I have to make a choice in order to select them The class of mecanics seem to be the more important lesson .,Many classes and activities are important in our school . But I have to make a choice in order to select from among them . The engineering class seems to be the most important lesson .
It use a lot of technics that we learn in other classes .,It uses a lot of techniques that we learn in other classes .
"It gives us the knowledge usefull for many school club like the "" marathon shell "" club or the robotich club .","It gives us knowledge useful for many school clubs , like the "" marathon shell "" club or the robotics club ."
Besides it gives all the areas covered by a mecanic ingenier and it is very important in a school where you will probably become a mecanic ingenier It lets us specify our abilities in the part of mecanics that we prefer .,Besides it gives all the areas covered by a mechanical engineer and it is very important in a school where you will probably become a mechanical engineer . It lets us identify our abilities and the part of mechanics that we prefer .
But there are other lessons very important ( like English of course ! ),But there are other very important lessons ( like English of course ! )
"Actually , I have a regret , there is no ethic lessons , It would show us how use our knowledge .","Actually , I have a regret - there is no ethics lesson . It would show us how to use our knowledge ."
"I am writing you to give you the information you need , but first of all I would say that I am really delighted and I would thank you .","I am writing to you to give you the information you need , but first of all I want to say that I am really delighted and I would like to thank you ."
"If it would be possible I wish I travel in July because I have planned my holidays this month at work and I would not be able to remove them for accommodation , I would choice the log cabin , I am not very fond of "" adventure "" , that is why tents are not for me .","If it is possible I wish to travel in July because I have planned my holidays this month at work and I would not be able to move them . Regarding accommodation , I would choose the log cabin . I am not very fond of "" adventure "" , which is why tents are not for me ."
I expect that these two weeks will be as a big rest .,I expect that these two weeks will be a big rest .
"Third , you need to know which sport I want to to practise .","Third , you need to know which sport I want to to do ."
I would choice photography and tennis .,I would choose photography and tennis .
( I guess that you should n't borrow some !,( I guess that you should n't borrow one ! )
"About tennis , I play for eight years and I am used to sit for competition .","Regarding tennis , I have played for eight years and I used to enter competitions ."
"To finish , I wonder if I need to bring some money or if all has been already payed and what kind of clothes should I bring ?","To finish , I wonder if I need to bring some money or if everything has been already paid for and what kind of clothes should I bring ?"
Our engineer school is specealized in mecanics and thermodynamics .,Our engineering school is specialised in mechanics and thermodynamics .
Needless to said that we must faces our attention to these fields .,"Needless to say , we must turn our attention to these fields ."
"First , we could film fluid mecanics lessons and general mecanics lessons .","First , we could film the fluid mechanics lessons and the general mechanics lessons ."
"I wonder if we could not feet between some short view of the laboratories , in which we could show student making experimentations .","I wonder if we could not feet between some short view of the laboratories , in which we could show a student doing experiments ."
"In order to strike people who will watch the film , we could record student drawing on the big drawing tables . I would do the same for thermodynamics .","In order to impress people who will watch the film , we could film a student drawing on the big drawing tables . I would do the same for thermodynamics ."
"Nevertheless , we should not forget the extra - life school . We have to show sports at school and all activities that we are offered .","Nevertheless , we should not forget the extra - curricular life at school . We have to show sports at school and all the activities that we are offered ."
There are not only the brain which should be trained .,It is not only the brain which should be trained .
Futur students could appreciate to come if they could still practise their sport .,Future students could appreciate coming if they could still do their sport .
"Another point to record woubl be the time we have got between lessons or at lunch time , it will show a part of the way of life in the school .",Another point to record would be the time we have got between lessons or at lunch time . It will show a part of the way of life in the school .
"If you want further information or if you disagree , tell me it .","If you want further information or if you disagree , tell me about it ."
"Dear Madame ,","Dear Madam ,"
I have received your letter about the competition ' two weeks at Camp California ' - I am very glad to know to have won the first prize !,I have received your letter about the competition ' two weeks at Camp California ' - I am very glad to know that I have won the first prize !
"In the following you can find , I hope , call the information you need to complete the partecipation procedure .","In the following you can find , I hope , all the information you need to complete the enrolment procedure ."
"I would like to travel only on July because , as you already know , at the moment I am following a doctoral course at the Cornell University : this school is closed on July and so , in that period , I am available for the camp .","I would like to travel only in July because , as you already know , at the moment I am following a doctoral course at Cornell University : the school is closed in July and so , in that period , I am available for the camp ."
"If possible , the accomodation I prefer is in tent .","If possible , the type of accommodation I prefer is a tent ."
"there are two main reasons for the choice : I am very keen on camping in high mountains and hills and I am very skilled in all the relative activities : building - up the tent , cooking on camp and so on .","There are two main reasons for this choice : I am very keen on camping in high mountains and hills and I am very skilled in all the related activities : putting up the tent , cooking on camp and so on ."
"Furthermore I have several personal objects that play a fundamental role in the camp daily life ( the tent , the sleep bag and so on . ) .","Furthermore I have several personal objects that play a fundamental role in the daily life of the camp ( the tent , the sleeping bag and so on . ) ."
"Indeed , I like the water sport and I am a quite good guitar singer - Some questions : What about the average temperature at the camp on July ?","Indeed , I like water sports and I am quite a good guitarist and singer . Some questions : what is the average temperature at the camp in July ?"
What are the better clothes to use at the camp ?,What are the best clothes to wear at the camp ?
How much money may be useful at the camp ?,How much money will I need at the camp ?
I will be very glad to partecipate to your camp !,I will be very glad to participate in your camp !
Yours faightfully,Yours faithfully
"Our school , as it is well known , is a technical school and consequently the daily life contains different activities performed in the classrooms or in the laboratories .","Our school , as is well known , is a technical school and consequently its daily life consists of different activities performed in the classrooms or in the laboratories ."
"A short video , showed to the English class , must take into account all these aspects of the life of our school .","A short video , shown to the English class , must take into account all these aspects of the life of our school ."
Here we can describe some lessons or other activities which can be filmed to create the video .,Here we can describe some lessons or other activities which can be filmed for the video .
The mathematical lessons are divided in two part : the theoretical one where the definitions and the theorems are presented to students and the numerical one where the problems are solved and the applications are explained .,The maths lessons are divided in two parts : the theoretical one where the definitions and the theorems are presented to students and the numerical one where the problems are solved and the applications are explained .
Two particular activities are performed in the laboratory of physics and in the laboratory of chemistry .,Two particular activities are performed in the physics laboratory and the chemistry laboratory .
These activities are very interesting and they will be surely enclosed in the video .,These activities are very interesting and they will surely be included in the video .
"Moreover , many sport activities are performed in our school : swimming , tennis , gym , jogging and so on .","Moreover , many sports activities are performed in our school : swimming , tennis , gym , jogging and so on ."
Some parts of the final video may describe these additional features of the school .,Some parts of the final video may show these additional features of the school .
"I would like to say "" thank you "" for this London trip plan .","I would like to say "" thank you "" for this plan for a trip to London ."
Especially the boat trip on river is a good idea because we all want to see Greenwich .,Especially the boat trip on the river . This is a good idea because we all want to see Greenwich .
We also enjoy the idea of going to the National Art Gallery and sightseeing by bus .,We also like the idea of going to the National Art Gallery and sightseeing by bus .
It seems it 's going to be a great fun .,It seems it 's going to be great fun .
"I do not know if it is possible to make any change in this plan but we saw an ad in "" Time Out "" magazine last week about a fashion show which we would like to see .","I do not know if it is possible to make any changes to this plan but we saw an ad in "" Time Out "" magazine last week about a fashion show which we would like to see ."
"The show 's date is very convinient - March 14 - , and it is on Central Exhibition Hall so I do not think it would be a problem to get there .","The show 's date is very convenient - March 14 - , and it is on in the Central Exhibition Hall so I do not think it would be a problem to get there ."
"As you know , we all come from different countries and we are keen on learning some other things about English culture besides the language itself .","As you know , we all come from different countries and we are keen to learn some other things about English culture besides the language itself ."
"Joining this fashion and leisure show , we will get the chance to see a lot of enjoyable and different things , such as new hair styles and make up ways , or what is fashion in London recently .","Attending this fashion and leisure show , we will get the chance to see a lot of enjoyable and different things , such as new hair styles and make - up , or what what the fashions in London are at the moment ."
"We can find another chance to go to the Science Museum in any other day , but this show is just for this Tuesday .","We can find another time to go to the Science Museum on any other day , but this show is just on this Tuesday ."
"I hope , it would n't cause a trouble to change the programme .",I hope it wo n't cause a problem to change the programme .
"Although human is a social creature , all people need an area to be able to stay away from other people .","Although humans are social creatures , all people need an area in which they can be apart from other people ."
"Press takes this demand as an order , and "" but public wants to know "" becomes a nightmare for famous people .","The press takes this demand as an order , and "" but the public wants to know "" becomes a nightmare for famous people ."
"Because they have to spend too much time in front of other people , they are even more sensitive about their privacy .","Because they have to spend so much time in front of other people , they are even more sensitive about their privacy ."
"I am quiet sure , even the ones , who have chosen their occupies just to be famous , do n't like to be pictured when they believe they are alone .","I am quite sure that even the ones who have chosen their occupations just to be famous , do n't like to be photographed when they believe they are alone ."
The situation much be much worse for the ones who have become famous without desiring this .,The situation must be much worse for the ones who have become famous without desiring it .
"Obviously , there is no point in saying "" famous people have a right to their own live . ""","Obviously , there is no point in saying "" famous people have a right to their own lives . """
"Although this statement is absuletely true , it seems there is no way to stop public attention , so they will keep living with journalists .","Although this statement is absolutely true , it seems there is no way to stop public attention , so they will have to keep living with journalists ."
"My name is Marcia Fomalar , I am writting to make you know how disappointed I felt when I went to the musical show of the London theatre .","My name is Marcia Fomalar , I am writing to let you know how disappointed I felt when I went to the musical at the London theatre ."
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .","I went to buy a ticket and as I like to enjoy the show near the stage I bought a £ 20 ticket but when I asked for a discount they told me , "" I am sorry but there was an error in the advertisement . It will be impossible to give you a discount "" ."
At 19:15 I was very impatient waiting for the show begins and a man anounced that the show will start at 20:15 .,"At 19:15 I was very impatient , waiting for the show to begin , and a man announced that the show would start at 20:15 ."
The reason they gave me it was closed because it was being repaired .,The reason they gave me was it was closed because it was being repaired .
Finaly the show started and to my sorprise my favourite actor Danny Brooke had been replaced by another actor .,Finally the show started and to my surprise my favourite actor Danny Brooke had been replaced by another actor .
"Now what I hope is you refound me my money , it was a horrible evening out",Now what I hope is you refund me my money . It was a horrible evening out
"Unfortunately , Pat was n't very good at keeping secrets . I would be the best party of the year .","Unfortunately , Pat was n't very good at keeping secrets . It would have been the best party of the year ."
Last month was my grandmother birthday and I organised a party for her .,Last month was my grandmother 's birthday and I organised a party for her .
My grandmother loves the parties and when she was young she used to organise big parties for all the family and friends .,My grandmother loves parties and when she was young she used to organise big parties for all her family and friends .
"Now she is 85 years old so she ca n't do that but , I can .",Now she is 85 years old so she ca n't do that but I can .
"I organised everything like : the place , the food , the decoration , I sent letters by post to everybody she knows .","I organised everything like : the place , the food , the decoration . I sent letters by post to everybody she knows ."
It seems to be the bigger party of her life .,It seemed likely to be the biggest party of her life .
"I thought she could have a show in this special party so I talked to Pat , my best friend , if she could help me as she works in the production of T.V. programes .","I thought we could put on a show at this special party so I talked to Pat , my best friend , to see if she could help me as she works in the production of T.V. programmes ."
She loved the idea and said she had differents shows so to decide which could be the most suitable .,She loved the idea and said she had various shows so I could decide which would be the most suitable .
I told her to make me a phone cold .,I told her to call me .
Pat sent to my house a fax with the different alternatives she thought but unfortunately my grandmother was there and she saw the paper so the sorprise was ended .,Pat sent a fax to my house with the different alternatives she had thought of but unfortunately my grandmother was there and she saw the paper so the surprise was ruined .
But after all the party was great .,But the party was great after all .
I am writing to reply on your letter concerned about the holidays at Camp California in the U.SA as a first prize in the competition which I fortunately won last month .,I am writing to reply to your letter about the holiday at Camp California in the U.SA which is the first prize in the competition which I fortunately won last month .
"First of all , I want to know if it is possible to travel in July because during that month I will be free from the school 's activities so my parents just let me go if I do not have to miss any of my classes .","First of all , I want to know if it is possible to travel in July because during that month I will be free from the school 's activities and my parents only let me go if I do not have to miss any of my classes ."
"About the activities that I have to choose , I have to say that it is quite difficult for me because I really like sports , but I think the best option is swimming because I have been practicing it during 5 years so I want to keep on it .","About the activities that I have to choose , I have to say that it is quite difficult for me because I really like sports , but I think the best option is swimming because I have been doing it for 5 years so I want to keep at it ."
"The other activity that I chose is painting , I am not as well as I want , nevertheless I think I can inprove my skills during this course .","The other activity that I chose is painting . I am not as good as I want , nevertheless I think I can improve my skills during this course ."
I would rather tends than log cabins for accommodation because the last summer I had the great opportunity to be in a log cabin and now I want to know the other one .,I would rather have a tent than a log cabin for my accommodation because last summer I had the great opportunity to be in a log cabin and now I want to know what the other option .
"I am sure it will be thrilling to stay near the nature and at the same time , it would be a new experience for me .","I am sure it will be thrilling to stay close to nature and , at the same time , it would be a new experience for me ."
"I would like to know how is the weather in California during the summer to bring with me appropiate clothes and the last thing I need to know , is the amount of money that I have to bring with me .",I would like to know how the weather is in California during the summer so I can bring with me the appropriate clothes and the last thing I need to know is the amount of money that I have to bring with me .
